ticker,sleeve,last_close,ret_6m,benchmark_hurdle,realized_vol20,atr15,above_ema10,above_sma200,sma50_gt_sma200,macd,macd_signal,macd_hist,weekly_macd_hist,breakout_89d,breakout_recent,exit_13d,raw_score,selected,entry_label,model_target_alloc_pct,current_alloc_pct,target_alloc_pct,delta_pct_points,action,rationale
LIQUIDBEES.NS,cash,999.989990234375,-1.0009765625040856e-05,-inf,,0.47868245442708335,False,False,False,-0.0006102923802018267,-0.0008786193845345552,0.00026832700433272847,-0.0006788998952273686,False,False,False,6.056393029356656,True,DO NOT BUY,0.0,0.0,100.0,100.0,MOVE TO CASH,LIQUIDBEES.NS holds residual cash while selected ETFs wait for valid entry signals; uncapped.
MON100.NS,ranked,225.9600067138672,0.0007529714902774209,-inf,,6.802001953125,True,True,False,-0.6769902793823235,-1.066195665834612,0.3892053864522884,-0.29653407393121844,False,True,False,12.0768036621099,True,DO NOT BUY,50.0,0.0,0.0,0.0,HOLD,"Selected on ranking, but do not buy. Sleeve=ranked, current entry signal weak or invalid."
MAFANG.NS,ranked,159.1199951171875,0.035263489112302704,-inf,,2.291334025065104,False,True,False,1.7378997733175652,1.7099717471456044,0.027928026171960774,0.7350775072714406,False,False,False,11.499999999973248,True,DO NOT BUY,50.0,0.0,0.0,0.0,HOLD,"Selected on ranking, but do not buy. Sleeve=ranked, current entry signal weak or invalid."
AUTOBEES.NS,ranked,254.41000366210938,-0.11163489306379937,-inf,,9.446671549479166,False,False,False,-8.36323083452038,-6.466132146095519,-1.8970986884248608,-3.515855582303965,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
BANKBEES.NS,ranked,550.8599853515625,-0.12730900332897954,-inf,,13.377323404947917,False,False,False,-19.24754901297547,-15.333744731554376,-3.9138042814210934,-8.500714712834611,False,False,True,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
CONSUMBEES.NS,ranked,118.83000183105469,-0.08648523863500002,-inf,,3.4053324381510417,False,False,False,-2.8100827373680914,-2.375409207917884,-0.4346735294502073,-1.263520134369894,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
CPSEETF.NS,ranked,101.76000213623047,0.0012791979368880213,-inf,,3.1199991861979166,False,False,False,-0.03534954227599485,0.14088063539519013,-0.17623017767118498,0.08200163433208653,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
FMCGIETF.NS,ranked,50.290000915527344,-0.09240207446280824,-inf,,1.206000518798828,False,False,False,-1.200746652328192,-0.9241692646748143,-0.2765773876533777,-0.5141255286302036,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
GOLDBEES.NS,ranked,121.05999755859375,-0.05080761573167503,-inf,,5.468000793457032,False,False,False,-1.1585330593456433,0.15865306355887293,-1.3171861229045163,-0.2392004130787907,False,False,True,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
HDFCQUAL.NS,ranked,53.95000076293945,-0.07445531110691406,-inf,,1.2100003560384114,False,False,False,-1.0319521069143178,-0.7767361907302828,-0.25521591618403505,-0.43875253167706646,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
HDFCSML250.NS,ranked,149.17999267578125,-0.07278268853434156,-inf,,4.19666748046875,False,False,False,-2.8774275188709453,-2.286863668833223,-0.5905638500377224,-1.2386561995956848,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
HNGSNGBEES.NS,ranked,491.6300048828125,-0.08447082101430725,-inf,,21.755999755859374,False,False,False,-9.349691357981726,-7.805912032400331,-1.5437793255813954,-4.68262684726851,False,False,True,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
INFRABEES.NS,ranked,907.4000244140625,-0.08808599010519536,-inf,,22.922664388020834,False,False,False,-21.4376988524416,-18.004982792524782,-3.4327160599168174,-9.586463764647265,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
ITBEES.NS,ranked,32.15999984741211,-0.09101190286862426,-inf,,1.3213329315185547,False,False,False,-0.7630301202560901,-0.6940641377687897,-0.06896598248730035,-0.3660827043630123,False,False,False,0.0,False,DO NOT BUY,0.0,100.0,0.0,-100.0,DECREASE,Not selected or failed hurdle/filter rules.
JUNIORBEES.NS,ranked,688.510009765625,-0.0789902990874527,-inf,,21.020003255208334,False,False,False,-14.096679483425078,-10.520137001860693,-3.5765424815643847,-5.854881261024187,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
MAHKTECH.NS,ranked,22.84000015258789,-0.08383474235874677,-inf,,0.8906665802001953,False,False,False,-0.5242483008702088,-0.48808364572894625,-0.03616465514126255,-0.24871700722574416,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
MASPTOP50.NS,ranked,67.9000015258789,-0.024285025160887153,-inf,,2.2126668294270835,False,False,False,-0.4452035416998541,-0.3171228523942684,-0.1280806893055857,-0.18048542512933172,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
METALIETF.NS,ranked,11.470000267028809,-0.04496252719083449,-inf,,0.5799999237060547,False,False,False,-0.15162888003812824,-0.09650033475523007,-0.05512854528289818,-0.057070681081939446,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
MID150BEES.NS,ranked,209.33999633789062,-0.07563917865712688,-inf,,6.0493316650390625,False,False,False,-4.182748261109538,-3.399226772266551,-0.7835214888429869,-1.851050896806532,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
MODEFENCE.NS,ranked,85.19999694824219,-0.0430192281654318,-inf,,3.2240000406901044,False,False,False,-0.6720881304638908,-0.10115133882481117,-0.5709367916390796,-0.22811528670712397,False,False,True,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
MONQ50.NS,ranked,96.0,-0.029518785109136858,-inf,,2.6413330078125,True,False,False,-0.8848897268342171,-0.8493092715129738,-0.03558045532124332,-0.3847264444010252,False,True,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
MOREALTY.NS,ranked,69.6500015258789,-0.15164430182257038,-inf,,2.524000040690104,False,False,False,-2.791070406609819,-2.462554462532241,-0.3285159440775782,-1.3520661783053798,False,False,True,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
OILIETF.NS,ranked,11.180000305175781,-0.08734691386320148,-inf,,0.42200005849202477,False,False,False,-0.2725439094347202,-0.20061454280211383,-0.07192936663260635,-0.10116320450093574,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
PHARMABEES.NS,ranked,23.200000762939453,0.007819300677514684,-inf,,0.755999755859375,False,False,False,0.010563808342105574,0.08543384052588972,-0.07487003218378414,0.03697888198198361,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
PSUBNKBEES.NS,ranked,95.44000244140625,-0.11235114005594748,-inf,,3.2026662190755206,False,False,False,-3.3761900683230266,-2.662386507212783,-0.7138035611102436,-1.322777638895059,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
SILVERBEES.NS,ranked,219.89999389648438,-0.07066182725776171,-inf,,12.041337076822916,False,False,False,-3.4117582592642464,0.5305481496540706,-3.942306408918317,-0.5399371703506991,False,False,False,0.0,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
